Name,CAS,"Quantity, kg"
Acetone,67-64-1,320
Ethanol,64-17-5,650
Sodium chloride,7647-14-5,3000
Xylene,NOT FOUND,720
Formalin,50-00-0,240
Dichloromethane,75-09-2,160
Isopropyl alcohol,67-63-0,1100
Potassium permanganate,7722-64-7,28
Hydrogen peroxide,7722-84-1,520
Oxalic acid,144-62-7,75
Magnesium sulfate,7487-88-9,440
Dichloroethane,75-34-3,180
Toluenne,NOT FOUND,290
Phosphoric acid,7664-38-2,640
Diethyl ether,NOT FOUND,95
Ammonium sulfate,7783-20-2,2200
Adhesive sealant MS-180,NOT FOUND,45
Citric acid,NOT FOUND,830
